pais	fecha	hora	nombre local	nombre visitante	mercado	cuota favor	porcentaje mercado media	proporcion relacionada media	valor	porcentaje mercado en sitio	porcentaje mercado en general	porcentaje mercado en ultimos 4 sitio	porcentaje mercado en ultimos 8 general	proporcion relacionada en sitio	proporcion relacionada en general	proporcion relacionada en ultimos 4 sitio	proporcion relacionada en ultimos 8 general	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24
brasil	27-sep	22:00	Sao Paulo	Coritiba	no empate	1,18	78,37	0,65	-6,38	83,33	73,91	75	81,25	1,5	0,61	0,5	0								
brasil	27-sep	22:00	Sao Paulo	Coritiba	empate	0	21,63	0,65	-50	16,67	26,09	25	18,75	1,5	0,61	0,5	0								
brasil	27-sep	22:00	Sao Paulo	Coritiba	handicap +0,5 local	1,125	73,69	0,65	-15,2	83,33	73,91	75	62,5	1,5	0,61	0,5	0								
brasil	27-sep	22:00	Sao Paulo	Coritiba	handicap -0,5 visitante	6	26,32	0,65	9,65	16,67	26,09	25	37,5	1,5	0,61	0,5	0								
brasil	27-sep	22:00	Sao Paulo	Coritiba	handicap +0,5 visitante	2,675	47,94	0,65	10,56	33,33	52,17	50	56,25	1,5	0,61	0,5	0								
brasil	27-sep	22:00	Sao Paulo	Coritiba	handicap -0,5 local	1,45	52,06	0,65	-16,91	66,67	47,83	50	43,75	1,5	0,61	0,5	0								
brasil	27-sep	22:00	Sao Paulo	Coritiba	handicap +1,5 local	0	89,49	0,65	-50	91,67	91,3	87,5	87,5	1,5	0,61	0,5	0								
brasil	27-sep	22:00	Sao Paulo	Coritiba	handicap -1,5 visitante	0	10,51	0,65	-50	8,33	8,7	12,5	12,5	1,5	0,61	0,5	0								
brasil	27-sep	22:00	Sao Paulo	Coritiba	handicap +1,5 visitante	1,575	59,58	0,65	-3,91	50	69,57	50	68,75	1,5	0,61	0,5	0								
brasil	27-sep	22:00	Sao Paulo	Coritiba	handicap -1,5 local	2,35	40,42	0,65	-2,13	50	30,43	50	31,25	1,5	0,61	0,5	0								
brasil	27-sep	22:00	Sao Paulo	Coritiba	mas 1,5	1,3	79,46	3	2,54	83,33	78,26	75	81,25	3,17	2,76	3	3,06								
brasil	27-sep	22:00	Sao Paulo	Coritiba	menos 1,5	3,5	20,54	3	-8,03	16,67	21,74	25	18,75	3,17	2,76	3	3,06								
brasil	27-sep	22:00	Sao Paulo	Coritiba	mas 2,5	1,9	62,05	3	9,42	66,67	56,52	62,5	62,5	3,17	2,76	3	3,06								
brasil	27-sep	22:00	Sao Paulo	Coritiba	menos 2,5	1,9	37,95	3	-14,68	33,33	43,48	37,5	37,5	3,17	2,76	3	3,06								
brasil	27-sep	22:00	Sao Paulo	Coritiba	mas 3,5	3,4	39,36	3	9,95	41,67	28,26	50	37,5	3,17	2,76	3	3,06								
brasil	27-sep	22:00	Sao Paulo	Coritiba	menos 3,5	1,33	60,64	3	-14,55	58,33	71,74	50	62,5	3,17	2,76	3	3,06								
brasil	27-sep	22:00	Sao Paulo	Coritiba	mas 4,5	6	23,1	3	6,43	25	17,39	25	25	3,17	2,76	3	3,06								
brasil	27-sep	22:00	Sao Paulo	Coritiba	menos 4,5	1,12	76,9	3	-12,39	75	82,61	75	75	3,17	2,76	3	3,06								
brasil	27-sep	22:00	Sao Paulo	Coritiba	ambos marcan	2,1	64,2	3	16,58	62,5	63,04	62,5	68,75	3,17	2,76	3	3,06								
brasil	27-sep	22:00	Sao Paulo	Coritiba	ambos no marcan	1,66	35,8	3	-24,44	37,5	36,96	37,5	31,25	3,17	2,76	3	3,06								
brasil	27-sep	22:00	Sao Paulo	Coritiba	mas 0,5 local	1,12	73,73	1,92	-15,56	79,17	78,26	62,5	75	2,21	1,7	2	1,75								
brasil	27-sep	22:00	Sao Paulo	Coritiba	menos 0,5 local	6	26,27	1,92	9,6	20,83	21,74	37,5	25	2,21	1,7	2	1,75								
brasil	27-sep	22:00	Sao Paulo	Coritiba	mas 0,5 visitante	1,8	74,7	1,08	19,14	70,83	71,74	75	81,25	0,96	1,07	1	1,31								
brasil	27-sep	22:00	Sao Paulo	Coritiba	menos 0,5 visitante	1,9	25,3	1,08	-27,33	29,17	28,26	25	18,75	0,96	1,07	1	1,31								
brasil	27-sep	22:00	Sao Paulo	Coritiba	mas 1,5 local	1,61	47,83	1,92	-14,28	62,5	41,3	50	37,5	2,21	1,7	2	1,75								
brasil	27-sep	22:00	Sao Paulo	Coritiba	menos 1,5 local	2,2	52,17	1,92	6,72	37,5	58,7	50	62,5	2,21	1,7	2	1,75								
brasil	27-sep	22:00	Sao Paulo	Coritiba	mas 2,5 local	3	42,53	1,92	9,2	50	32,61	50	37,5	2,21	1,7	2	1,75								
brasil	27-sep	22:00	Sao Paulo	Coritiba	menos 2,5 local	1,36	57,47	1,92	-16,06	50	67,39	50	62,5	2,21	1,7	2	1,75								
brasil	27-sep	22:00	Sao Paulo	Coritiba	mas 1,5 visitante	5,5	33,15	1,08	14,97	25	32,61	25	50	0,96	1,07	1	1,31								
brasil	27-sep	22:00	Sao Paulo	Coritiba	menos 1,5 visitante	1,14	66,85	1,08	-20,87	75	67,39	75	50	0,96	1,07	1	1,31								
brasil	27-sep	22:00	Sao Paulo	Coritiba	mas 2,5 visitante	19	0,54	1,08	-4,72	0	2,17	0	0	0,96	1,07	1	1,31								
brasil	27-sep	22:00	Sao Paulo	Coritiba	menos 2,5 visitante	1,02	99,46	1,08	1,42	100	97,83	100	100	0,96	1,07	1	1,31								
eeuu	27-sep	23:30	Philadelphia	Dallas	no empate	1,28	65,65	0,81	-12,47	71,43	72,41	62,5	56,25	1,28	0,35	1	0,63								
eeuu	27-sep	23:30	Philadelphia	Dallas	empate	0	34,35	0,81	-50	28,57	27,59	37,5	43,75	1,28	0,35	1	0,63								
eeuu	27-sep	23:30	Philadelphia	Dallas	handicap +0,5 local	1,2	80,86	0,81	-2,47	85,71	68,97	87,5	81,25	1,28	0,35	1	0,63								
eeuu	27-sep	23:30	Philadelphia	Dallas	handicap -0,5 visitante	4,4	19,14	0,81	-3,59	14,29	31,03	12,5	18,75	1,28	0,35	1	0,63								
eeuu	27-sep	23:30	Philadelphia	Dallas	handicap +0,5 visitante	2,05	53,49	0,81	4,71	42,86	58,62	50	62,5	1,28	0,35	1	0,63								
eeuu	27-sep	23:30	Philadelphia	Dallas	handicap -0,5 local	1,75	46,51	0,81	-10,63	57,14	41,38	50	37,5	1,28	0,35	1	0,63								
eeuu	27-sep	23:30	Philadelphia	Dallas	handicap +1,5 local	0	89,41	0,81	-50	96,43	86,21	87,5	87,5	1,28	0,35	1	0,63								
eeuu	27-sep	23:30	Philadelphia	Dallas	handicap -1,5 visitante	0	10,59	0,81	-50	3,57	13,79	12,5	12,5	1,28	0,35	1	0,63								
